Fecha;Proyecto;Módulo;Tarea;Duración (horas);Estado;Prioridad;Complejidad;Descripción;Notas
2026-02-10;BeeTracked;Backend;Corregir subida de fotos S3 en producción;1.5;Completado;Alta;Media;Lambda usaba credenciales inexistentes. Se configuró uso de IAM role: detección Lambda vs local, reset de cliente S3 por invocación, isS3Configured() diferenciado. Despliegue a Lambda.;docs/AWS_S3_LAMBDA_ROLE.md
2026-02-10;BeeTracked;Seguridad;Auditoría de seguridad y eliminación de credenciales expuestas;0.5;Completado;Alta;Baja;Eliminados RAILWAY_DEPLOY.md y DEPLOY_AWS.md (contenían keys AWS). Verificado que no estaban en Git. Actualizado .gitignore. Creado docs/SECURITY_AUDIT.md.;Claves expuestas ya rotadas/inválidas
2026-02-10;BeeTracked;Frontend;Título de app "📍 BeeTracked";0.25;Completado;Media;Baja;Cambio de título en index.html y manifest.json (pestaña y PWA).;Título visible en Chrome y al instalar PWA
2026-02-10;BeeTracked;DevOps;Despliegue frontend a AWS (título en pestaña);0.25;Completado;Media;Baja;Build, sync S3, invalidación CloudFront para que se viera el nuevo título.;d19ls0k7de9u6w.cloudfront.net
2026-02-10;BeeTracked;Frontend;Botón mostrar/ocultar contraseña en Login;0.25;Completado;Media;Baja;Icono de ojo en campo contraseña que alterna type text/password. Desplegado a producción.;Login.tsx
2026-02-10;BeeTracked;DevOps;Estrategia de caché (headers S3 y deploy);0.75;Completado;Alta;Media;index.html y manifest.json sin caché (max-age=0). Assets con hash caché 1 año. Actualizado GitHub Actions y script deploy-frontend.sh. Documentación CACHE_STRATEGY.md.;Evita pantalla antigua tras deploys
2026-02-10;BeeTracked;Documentación;Instrucciones borrar caché en Chrome;0.1;Completado;Baja;Baja;Hard refresh, DevTools "Vaciar caché y recargar", borrar datos navegación.;Incluido en CACHE_STRATEGY.md
2026-02-10;BeeTracked;Frontend;Mensaje ante error MIME type (caché antigua);0.25;Completado;Alta;Baja;Listener en index.html que detecta error "MIME type text/html" y muestra mensaje para actualizar con Ctrl+Shift+R. Documentación pasos Clear site data.;Soluciona pantalla en blanco cuando index.html cacheado referencia JS viejo
2026-02-10;BeeTracked;AWS;Lectura pública de fotos S3 (enlaces directos);0.25;Completado;Alta;Baja;Desbloqueo de acceso público en bucket bee-tracked-photos. Política para GetObject público en Registros_BeeTracked/* y beezero/*. Script s3-bucket-policy-public-read.json.;Usuario podía ver "Access Denied" al abrir URL de imagen
2026-02-10;BeeTracked;Documentación;Instrucciones borrar caché en celular;0.1;Completado;Baja;Baja;Pasos para Android (Chrome) e iOS (Safari y Chrome): datos del sitio, borrar caché, recarga forzada.;Para usuarios móviles
2026-02-10;BeeTracked;Backend/Frontend;Verificación completa módulo BeeZero;0.5;Completado;Alta;Media;Prueba end-to-end de iniciar y cerrar turno. Verificadas 27 columnas en Sheet, fotos S3, cálculos automáticos. Creado docs/VERIFICACION_BEEZERO.md;Todas las funcionalidades verificadas correctamente
2026-02-10;BeeTracked;Frontend;Campo Abejita no editable (BeeZero);0.15;Completado;Media;Baja;Campo "Abejita" con disabled + readOnly + cursor-not-allowed. Se llena automáticamente con nombre del usuario logueado.;IniciarTurno.tsx
2026-02-10;BeeTracked;Frontend;Eliminar opción Cancelar Turno (BeeZero);0.25;Completado;Media;Baja;Eliminada opción "Cancelar Turno" del dashboard y rutas. Archivo CancelarTurno.tsx eliminado. Usuarios deben siempre abrir y cerrar turnos.;DashboardBeezero.tsx, App.tsx
2026-02-10;BeeTracked;Backend/Frontend;Cambio fórmula diferencia a suma (BeeZero);0.25;Completado;Alta;Baja;Diferencia ahora suma Apertura + QR + Cierre (antes restaba). Actualizado frontend (CerrarTurno.tsx) y backend (turnos.js).;Desplegado a Lambda y S3
2026-02-10;BeeTracked;Frontend;Sincronización dashboard con Google Sheet;0.5;Completado;Alta;Media;Dashboard ahora consulta /api/turnos para detectar turnos iniciados en Sheet. Sincroniza con localStorage. Muestra spinner mientras carga.;DashboardBeezero.tsx con useAuth y fetch
