Fecha,Proyecto,Módulo,Tarea,Duración (horas),Estado,Prioridad,Complejidad,Descripción,Notas
2026-06-01,BeeTracked,Backend,Sprint 8 — Sesión extendida admins (4 h) y usuarios (30 min),1.5,Completado,Alta,Baja,MemorySessionStore y DynamoDBSessionStore: timeout por userType admin vs resto.,Bloque A
2026-06-01,BeeTracked,Backend,Sprint 8 — Anuncios siempre visibles en dashboard,1,Completado,Alta,Baja,GET /api/announcements/pending sin filtro hasUserRead; POST read se mantiene para estadísticas.,Bloque A
2026-06-01,BeeTracked,Frontend + Backend,Sprint 8 — Comprobante opcional en permisos + modal confirmación,2.5,Completado,Alta,Media,SolicitarPermiso: upload S3 permiso-comprobante; modal 8 h; DynamoDB + mirror Sheets.,Bloque B
2026-06-01,BeeTracked,Backend,Sprint 8 — Email al solicitar permiso (nodemailer + HTML),2,Completado,Alta,Media,emailService.js + llamada en permisosService; variables GMAIL y PERMISO_NOTIFY_EMAILS.,Bloque B
2026-06-01,BeeTracked,Frontend + Backend,Sprint 8 — Select placa por gasto al cerrar turno BeeZero,1.5,Completado,Media,Baja,CerrarTurno.tsx + normalizeGastos/saveGastosToSheet en turnos.,Bloque B
2026-06-02,BeeTracked,Frontend + Backend,Sprint 8 — Gestión de usuarios (panel admin),3,Completado,Alta,Media,adminUsers.js GestionUsuarios.tsx adminApi rutas dashboard card.,Bloque C — Feature 1
2026-06-02,BeeTracked,Frontend + Backend,Sprint 8 — Pestaña Rendimiento admin,4,Completado,Alta,Media,GET /api/admin/rendimiento + Rendimiento.tsx filtros y tabla por conductor.,Bloque C — Feature 6
2026-06-02,BeeTracked,DevOps,Deploy Sprint 8 + variables Gmail en Lambda/SSM,1.5,Completado,Alta,Media,GitHub Actions serverless; configuración COGNITO y correo en AWS.,Push main
2026-06-02,BeeTracked,DevOps,Fix 404 /api/admin/usuarios (lambda.js sin commitear),2,Completado,Alta,Alta,Commit rutas adminUsers en lambda.js; --force en deploy-aws.yml; verificación curl 401.,Post-deploy
2026-06-03,BeeTracked,Backend + AWS,Usuarios admin desde Cognito (no CSV en Lambda),2.5,Completado,Alta,Media,cognitoUsersService.js list/create; IAM cognito-idp; UI texto actualizado.,Lista vacía en prod
2026-06-03,BeeTracked,Backend + AWS,Correo permisos: Gmail SSM logs tercer destinatario,2.5,Completado,Alta,Alta,Contraseña app 16 chars; fix GMAIL_USER SSM; hola.beezero@gmail.com; test-permiso-email.js.,BadCredentials resuelto
